year,final_draw_position,country,final_televote_points,final_jury_points,final_place,final_total_points
2025,1,Norway,67,22,18,89
2025,2,Luxembourg,24,23,22,47
2025,3,Estonia,258,98,3,356
2025,4,Israel,297,60,2,357
2025,5,Lithuania,62,34,16,96
2025,6,Spain,10,27,24,37
2025,7,Ukraine,158,60,9,218
2025,8,United Kingdom,0,88,19,88
2025,9,Austria,178,258,1,436
2025,10,Iceland,33,0,25,33
2025,11,Latvia,42,116,13,158
2025,12,Netherlands,42,133,12,175
2025,13,Finland,108,88,11,196
2025,14,Italy,97,159,5,256
2025,15,Poland,139,17,14,156
2025,16,Germany,74,77,15,151
2025,17,Greece,126,105,6,231
2025,18,Armenia,30,42,20,72
2025,19,Switzerland,0,214,10,214
2025,20,Malta,8,83,17,91
2025,21,Portugal,13,37,21,50
2025,22,Denmark,2,45,23,47
2025,23,Sweden,195,126,4,321
2025,24,France,50,180,7,230
2025,25,San Marino,18,9,26,27
2025,26,Albania,173,45,8,218
